Artists,weeks_on_chart,streams,artist_genres
Bad Bunny,10,8243232,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8220630,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8220630,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8220630,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8220630,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8220630,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8220630,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8220630,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8220630,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8220630,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8220630,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8220630,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8220630,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8220630,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8220630,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8208045,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8208045,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8208045,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8208045,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8208045,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8208045,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8208045,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8208045,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8208045,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8208045,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8208045,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8208045,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8208045,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8208045,"['latin', 'reggaeton', 'trap latino']"
j hope,2,8166216,"['k-pop', 'k-rap']"
Imanbek BYOR,7,8147362,"['dance pop', 'edm', 'electro house', 'pop dance', 'slap house', 'tropical house']"
The Weeknd,38,8106507,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Weeknd,38,8106507,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Weeknd,38,8106507,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Weeknd,38,8106507,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Weeknd,38,8106507,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Imagine Dragons,18,8105205,"['modern rock', 'rock']"
Imagine Dragons,18,8105205,"['modern rock', 'rock']"
Bad Bunny,10,8006060,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8006060,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8006060,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8006060,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8006060,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8006060,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8006060,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8006060,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8006060,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8006060,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8006060,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8006060,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8006060,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8006060,"['latin', 'reggaeton', 'trap latino']"
Post Malone Roddy Ricch,9,7994323,"['dfw rap', 'melodic rap', 'rap']"
Harry Styles,8,7975996,['pop']
Harry Styles,8,7975996,['pop']
Harry Styles,8,7975996,['pop']
Harry Styles,8,7975996,['pop']
Harry Styles,8,7975996,['pop']
Harry Styles,8,7975996,['pop']
Yung Gravy,1,7961447,"['minnesota hip hop', 'pop rap']"
NAYEON,3,7946134,[]
Manuel Turizo,2,7913446,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Doja Cat SZA,66,7834602,"['dance pop', 'pop']"
GAYLE,35,7804786,['modern alternative pop']
WILLOW,17,7793009,['pop']
PolimA Westcoast Pailita,12,7788713,"['trap chileno', 'trap latino', 'trap triste', 'urbano chileno']"
Lasso,2,7759140,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'rock independant francais']"
