rank,uri,artist_names,track_name,peak_rank,previous_rank,weeks_on_chart,streams,week
7,spotify:track:5RwV8BvLfX5injfqYodke9,Rauw Alejandro,Todo De Ti,2,5,8,30362018,7/15/2021
7,spotify:track:5RwV8BvLfX5injfqYodke9,Rauw Alejandro,Todo De Ti,2,7,9,29554347,7/22/2021
8,spotify:track:5RwV8BvLfX5injfqYodke9,Rauw Alejandro,Todo De Ti,2,7,10,26951613,7/29/2021
197,spotify:track:3rdAz1fbUfZxYgaCviYhRo,Rauw Alejandro,Todo De Ti,2,183,61,5725961,7/21/2021
15,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,7,17,7,20952576,7/8/2021
15,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,7,17,9,20572698,7/22/2021
16,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,7,15,10,19480679,7/29/2021
17,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,7,15,8,20546322,7/15/2021
66,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,7,63,61,9111487,7/21/2021
104,spotify:track:0OTNHGKcqQbk51bOYe462Y,Polima Westcoast,ULTRA SOLO,42,93,13,7460616,7/21/2021
58,spotify:track:6wtZPYBIXUvCpXwVjMCJBf,Polima Westcoast,ULTRA SOLO REMIX,44,51,5,9912255,7/21/2021
87,spotify:track:6VrQTLzzuyGIYjUDe4kAZk,Bad Bunny,Un Coco,25,77,11,8035925,7/21/2021
54,spotify:track:5CzixCxDkRXX9mScCmah8O,Bad Bunny,Un Ratito,10,44,11,10287723,7/21/2021
175,spotify:track:18HOjcvTVV7W8YzBuOsAPS,Bad Bunny,Un Verano Sin Ti,20,161,11,5978613,7/21/2021
33,spotify:track:1O2pcBJGej0pmH2Y9XZMs6,Cris Mj,Una Noche en Medellin,9,34,21,11951527,7/21/2021
168,spotify:track:2J2Z1SkXYghSajLibnQHOa,Sia,Unstoppable,107,162,23,6133123,7/21/2021
32,spotify:track:0T5iIrXA4p5GsubkhuBIKV,Stephen Sanchez,Until I Found You,30,31,11,12337883,7/21/2021
81,spotify:track:1M4OcYkxAtu3ErzSgDEfoi,Cardi B,Up,14,86,22,7443285,7/8/2021
90,spotify:track:1M4OcYkxAtu3ErzSgDEfoi,Cardi B,Up,14,81,23,7026154,7/15/2021
96,spotify:track:1M4OcYkxAtu3ErzSgDEfoi,Cardi B,Up,14,90,24,6866801,7/22/2021
139,spotify:track:1M4OcYkxAtu3ErzSgDEfoi,Cardi B,Up,14,96,25,5845156,7/29/2021
26,spotify:track:0hquQWY3xvYqN4qtiquniF,Doja Cat,Vegas From the Original Motion Picture Soundtrack ELVIS,26,26,7,13248239,7/21/2021
199,spotify:track:7IPKXYU2rTMnrLW5IZ7ZI5,Dave,Verdansk,199,-1,1,4950275,7/29/2021
47,spotify:track:4hceSKjrkDTO0nMKFcb3sj,Bizarrap,Villano Antillano Bzrp Music Sessions Vol 51,47,54,6,10984991,7/21/2021
19,spotify:track:0G2zPzWqVjR68iNPmx2TBe,Mora,Volando Remix,19,23,2,17595887,7/22/2021
21,spotify:track:0G2zPzWqVjR68iNPmx2TBe,Mora,Volando Remix,19,19,3,16606925,7/29/2021
23,spotify:track:0G2zPzWqVjR68iNPmx2TBe,Mora,Volando Remix,23,-1,1,16669383,7/15/2021
133,spotify:track:4wQUopWk9Ed7Ng5qpKN5qd,Dj Guuga,Volta Bebe Volta Nenem,71,153,12,5870285,7/8/2021
195,spotify:track:4wQUopWk9Ed7Ng5qpKN5qd,Dj Guuga,Volta Bebe Volta Nenem,71,133,13,5041120,7/15/2021
103,spotify:track:0y60itmpH0aPKsFiGxmtnh,WILLOW,Wait a Minute,28,92,18,7465212,7/21/2021
57,spotify:track:59nOXPmaKlBfGMDeOVGrIK,Future,WAIT FOR U feat Drake and Tems,10,45,12,10001626,7/21/2021
153,spotify:track:0nrRP2bk19rLc0orkWPQk2,Avicii,Wake Me Up,13,166,44,5512661,7/8/2021
154,spotify:track:0nrRP2bk19rLc0orkWPQk2,Avicii,Wake Me Up,13,155,46,5787886,7/22/2021
155,spotify:track:0nrRP2bk19rLc0orkWPQk2,Avicii,Wake Me Up,13,153,45,5565873,7/15/2021
155,spotify:track:0nrRP2bk19rLc0orkWPQk2,Avicii,Wake Me Up,13,154,47,5607285,7/29/2021
189,spotify:track:0nrRP2bk19rLc0orkWPQk2,Avicii,Wake Me Up,13,192,84,5794118,7/21/2021
57,spotify:track:65OVbaJR5O1RmwOQx0875b,Drake,Wants and Needs feat Lil Baby,6,58,18,9113772,7/8/2021
63,spotify:track:65OVbaJR5O1RmwOQx0875b,Drake,Wants and Needs feat Lil Baby,6,57,19,8783472,7/15/2021
79,spotify:track:65OVbaJR5O1RmwOQx0875b,Drake,Wants and Needs feat Lil Baby,6,63,20,7942440,7/22/2021
