rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
173,spotify:track:37y7iDayfwm3WXn5BiAoRk,Steve Lacy,Dark Red,Three Quarter,66,181,49,6022557
174,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,Republic Records,12,169,103,5968588
175,spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,Coolio LV,Gangstas Paradise,Tommy Boy Music LLC,116,168,38,5941982
176,spotify:track:40SBS57su9xLiE1WqkXOVr,LF SYSTEM,Afraid To Feel,Warner Records,176,-1,1,5909732
177,spotify:track:1v7L65Lzy0j0vdpRjJewt1,Eminem,Lose Yourself  From 8 Mile Soundtrack,Aftermath,44,173,82,5860465
178,spotify:track:00imgaPlYRrMGn9o83hfmk,Brent Faiyaz,LOOSE CHANGE,Lost Kids LLC Marketed by Venice   Stem,178,-1,1,5854629
179,spotify:track:2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Softcore,Columbia,35,171,27,5851963
180,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,Atlantic Records UK,4,175,278,5850726
181,spotify:track:2tGvwE8GcFKwNdAXMnlbfl,Olivia Rodrigo,happier,Olivia Rodrigo PS,12,174,60,5828833
182,spotify:track:1zi7xx7UVEFkmKfv06H8x0,Drake WizKid Kyla,One Dance,Cash Money Records Young Money Ent Universal Rec,12,172,136,5813505
183,spotify:track:3rdAz1fbUfZxYgaCviYhRo,Rauw Alejandro,Todo De Ti,Sony Music Latin Duars Entertainment,2,159,60,5810092
184,spotify:track:3AVrVz5rK8Hrqo9YGiVGN5,Cigarettes After Sex,Apocalypse,PTKF,184,-1,1,5805454
185,spotify:track:3rq5w4bQGigXOfdN30ATJt,Arctic Monkeys,Do I Wanna Know,Domino Recording Co,117,196,44,5804169
186,spotify:track:0QPRDC97rIQB3Jh3hrVJoH,Rosa Linn,SNAP,Nvak Collective,186,-1,1,5780104
187,spotify:track:2Gq636OOGgxCTqEuzCZhsa,Bizarrap Tiago PZK,Tiago PZK Bzrp Music Sessions Vol 48,WEA Latina DALE PLAY Records,37,-1,19,5766183
188,spotify:track:3XgGQ1wjo5khvq2UImjyNF,Brent Faiyaz,ALL MINE,Lost Kids LLC Marketed by Venice   Stem,188,-1,1,5750054
189,spotify:track:7a8GawTVgHZvBLQOh46he7,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,189,-1,1,5699530
190,spotify:track:6ojZtz3sZr6ynvejLOqgCj,Tiago PZK Ozuna,Nos Comemos feat Ozuna,WEA Latina,140,185,6,5697806
191,spotify:track:3BnDvpeuGOj21Ir2aVEtQo,Rema,Calm Down,Mavin Records   Jonzing World,191,-1,1,5688777
192,spotify:track:0nrRP2bk19rLc0orkWPQk2,Avicii,Wake Me Up,Universal Music AB,13,184,83,5662493
193,spotify:track:4srcMdbm2qzVG98tJajHxp,Alejo Feid ROBI,Pantysito,UMLE  Latino,55,192,17,5657880
194,spotify:track:7JJmb5XwzOO8jgpou264Ml,Shawn Mendes,Theres Nothing Holdin Me Back,Island Records,5,180,69,5637347
195,spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,The Kid LAROI,Thousand Miles,Columbia,18,186,12,5607355
196,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Ze Felipe MC Mari,Bandido,Som Livre,125,177,3,5603007
197,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,Warner Records,124,183,11,5592566
198,spotify:track:5QvW5lK6mkfTegpAK9JOO7,Fivio Foreign The Kid LAROI,Paris to Tokyo,RichFish Columbia,198,-1,1,5572362
199,spotify:track:6EbVuwU7EnKeF2hdpViXCH,Sleepy Hallow 347aidan,Die Young feat 347aidan,Winners Circle RCA Records,97,178,7,5542413
200,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Nights,Universal Music AB,44,187,70,5536726
