Popularity,artist_names,track_name,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
10,Drake,Nice For What,['hip hop'],0.7,0.909,8,-6.461,1,0.0628,0.0884,0.000114,0.0778,0.757,93.469,210747
10,Clean Bandit,Solo feat Demi Lovato,['pop'],0.737,0.636,11,-4.546,0,0.0437,0.0441,0.0000666,0.35,0.565,105.005,222653
10,Post Malone,Better Now,['rap'],0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,231267
10,XXXTENTACION,SAD,['rap'],0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606
10,Taylor Swift,You Need To Calm Down,['pop'],0.768,0.678,2,-5.604,1,0.0505,0.00838,0,0.0596,0.706,85.025,171387
10,Drake,Money In The Grave Drake ft Rick Ross,['hip hop'],0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,205427
10,Ed Sheeran,South of the Border feat Camila Cabello and Cardi B,['pop'],0.857,0.621,9,-6.376,0,0.0825,0.148,0,0.0865,0.668,97.989,204467
10,DJ Snake,Loco Contigo feat J Balvin and Tyga,['rap'],0.823,0.71,6,-3.896,0,0.0688,0.276,0.00000217,0.152,0.376,96.024,185195
10,Lil Tecca,Ransom,['rap'],0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,131280
10,Drake,Toosie Slide,['hip hop'],0.83,0.49,1,-8.82,0,0.209,0.289,0.00000304,0.113,0.845,81.604,247059
10,StaySolidRocky,Party Girl Remix,['rap'],0.752,0.375,6,-10.157,0,0.204,0.533,0,0.175,0.591,129.995,147673
10,Powfu,death bed coffee for your head,['rap'],0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,173333
10,Taylor Swift,my tears ricochet,['pop'],0.456,0.263,0,-10.63,1,0.0332,0.806,0,0.0749,0.111,129.86,255894
10,BTS,Butter,['k pop'],0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0906,0.695,109.997,164442
10,Dua Lipa,Levitating feat DaBaby,['hip hop'],0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,203064
10,Doja Cat,Kiss Me More feat SZA,['rap'],0.764,0.705,8,-3.463,1,0.0284,0.259,0.0000892,0.12,0.781,110.97,208667
10,BTS,Permission to Dance,['k pop'],0.702,0.741,9,-5.33,1,0.0427,0.00544,0,0.337,0.646,124.925,187585
10,Maneskin,I WANNA BE YOUR SLAVE,['pop'],0.75,0.608,1,-4.008,1,0.0387,0.00165,0,0.178,0.958,132.507,173347
10,Glass Animals,Heat Waves,['pop'],0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,238805
10,Charlie Puth,Left and Right Feat Jung Kook of BTS,['pop'],0.881,0.592,2,-4.898,1,0.0324,0.619,0.0000132,0.0901,0.719,101.058,154487
11,Drake,Mob Ties,['hip hop'],0.755,0.575,4,-8.392,0,0.0673,0.0443,0.00127,0.276,0.493,85.994,205147
11,Tyga,Taste feat Offset,['hip hop'],0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,232959
11,Post Malone,Better Now,['rap'],0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,231267
11,Tiesto,Jackie Chan,['pop'],0.747,0.834,3,-2.867,0,0.045,0.374,0,0.0586,0.687,128.005,215760
11,Daddy Yankee,Con Calma,['latin'],0.737,0.86,8,-2.652,0,0.0593,0.11,0.00000194,0.0574,0.656,93.989,193227
11,Post Malone,Sunflower SpiderMan Into the SpiderVerse,['rap'],0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040
11,Sech,Otro Trago,['classical'],0.746,0.7,0,-4.669,1,0.341,0.136,0.000159,0.11,0.619,176.044,225933
11,Sech,Otro Trago Remix,['classical'],0.725,0.79,0,-2.331,1,0.197,0.0711,0.00000114,0.0602,0.763,175.988,287773
11,Tones And I,Dance Monkey,['pop'],0.826,0.593,6,-6.401,0,0.0976,0.688,0.000161,0.17,0.541,98.083,209755
11,Topic,Breaking Me,['pop'],0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031,166794
11,Lady Gaga,Rain On Me with Ariana Grande,['pop'],0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,182200
11,Taylor Swift,august,['pop'],0.532,0.623,5,-9.208,1,0.0331,0.538,0.0000728,0.0925,0.403,89.937,261923
11,J Balvin,Que Mas Pues,['latin'],0.891,0.819,8,-3.964,1,0.106,0.0261,0.000354,0.173,0.768,101.968,217773
11,Justin Bieber,Peaches feat Daniel Caesar and Giveon,['pop'],0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03,198082
11,Maneskin,I WANNA BE YOUR SLAVE,['pop'],0.75,0.608,1,-4.008,1,0.0387,0.00165,0,0.178,0.958,132.507,173347
11,Dua Lipa,Levitating feat DaBaby,['hip hop'],0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,203064
11,KAROL G,PROVENZA,['latin'],0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,210200
11,Glass Animals,Heat Waves,['pop'],0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,238805
11,Charlie Puth,Left and Right Feat Jung Kook of BTS,['pop'],0.881,0.592,2,-4.898,1,0.0324,0.619,0.0000132,0.0901,0.719,101.058,154487
11,Steve Lacy,Bad Habit,['afrofuturism'],0.686,0.494,1,-7.093,1,0.0355,0.613,0.000058,0.402,0.7,168.946,232067
12,Drake,8 Out Of 10,['hip hop'],0.534,0.684,11,-7.874,0,0.717,0.164,0,0.499,0.338,170.416,195720
12,Drake,Gods Plan,['hip hop'],0.754,0.449,7,-9.212,1,0.108,0.0329,0.0000784,0.55,0.35,77.167,198973
12,Drake,Nonstop,['hip hop'],0.909,0.405,6,-8.133,0,0.14,0.0306,0.00698,0.105,0.455,154.984,238613
12,Jonas Blue,Rise,['pop'],0.69,0.784,1,-4.653,1,0.032,0.323,0,0.203,0.669,106.066,194408
12,Katy Perry,Never Really Over,['pop'],0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,223523
12,Lewis Capaldi,Someone You Loved,['pop'],0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161
12,Drake,Money In The Grave Drake ft Rick Ross,['hip hop'],0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,205427
12,Billie Eilish,bad guy with Justin Bieber,['hip hop'],0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,0.68,135.055,194840
12,DJ Snake,Loco Contigo feat J Balvin and Tyga,['rap'],0.694,0.758,11,-2.986,1,0.218,0.278,0.00000134,0.102,0.371,192.091,185195
12,Surf Mesa,ily i love you baby feat Emilee,['tropical house'],0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,176547
12,Powfu,death bed coffee for your head,['rap'],0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,173333
12,Tones And I,Dance Monkey,['pop'],0.826,0.593,6,-6.401,0,0.0976,0.688,0.000161,0.17,0.541,98.083,209755
12,Juice WRLD,Come and Go with Marshmello,['rap'],0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,205485
12,Justin Bieber,Peaches feat Daniel Caesar and Giveon,['pop'],0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03,198082
12,Olivia Rodrigo,deja vu,['pop'],0.442,0.612,2,-7.222,1,0.112,0.584,0.0000057,0.37,0.178,180.917,215507
12,J Balvin,Que Mas Pues,['latin'],0.891,0.819,8,-3.964,1,0.106,0.0261,0.000354,0.173,0.768,101.968,217773
